name,artist,genre
Tiger Mountain Peasant Song,Fleet Foxes,soul-blues
Spoonful,Howlin' Wolf,soul-blues
Just The Two Of Us,"Grover Washington, Jr.",soul-blues
A Song for You,Donny Hathaway,soul-blues
Come On In My Kitchen,Robert Johnson,soul-blues
Lets Get It On,Marvin Gaye,soul-blues
Hello,Lionel Richie,soul-blues
Mellow Down Easy,Little Walter,soul-blues
Take Me To The River,Al Green,soul-blues
Baby How Long,Howlin' Wolf,soul-blues
Chill Out (Things Gonna Change),John Lee Hooker,soul-blues
Ain't No Mountain High Enough,Marvin Gaye,soul-blues
I Need You Tonight,Buddy Guy,soul-blues
I Can't Get Next To You,The Temptations,soul-blues
Charlene,Anthony Hamilton,soul-blues
I Asked For Water (She Gave Me Gasoline),Howlin' Wolf,soul-blues
The World (Is Going Up In Flames),Charles Bradley,soul-blues
Wall of Denial,Stevie Ray Vaughan,soul-blues
All Aboard,Muddy Waters,soul-blues
Let's Groove,"Earth, Wind & Fire",soul-blues
Where Did Our Love Go,The Supremes,soul-blues
How Long Do I Have To Wait For You?,Sharon Jones & The Dap-Kings,soul-blues
"Darling, You Know I Love You",B.B. King,soul-blues
Keep Marchin',Raphael Saadiq,soul-blues
Telephone Song,The Vaughan Brothers,soul-blues
Never Give You Up,Raphael Saadiq,soul-blues
Music,Leela James,soul-blues
Help Me,Sonny Boy Williamson II,soul-blues
Back In The Day,Erykah Badu,soul-blues
Window Seat,Erykah Badu,soul-blues
Shake for Me,Stevie Ray Vaughan,soul-blues
"Bright Lights, Big City",Jimmy Reed,soul-blues
Crosstown Traffic,Jimi Hendrix,soul-blues
That's The Way Of The World,"Earth, Wind & Fire",soul-blues
Get Back,Big Bill Broonzy,soul-blues
Don't Stop 'Til You Get Enough,Michael Jackson,soul-blues
Kiss and Say Goodbye,The Manhattans,soul-blues
Make You Feel My Love,Adele,soul-blues
I'll Make Love To You,Boyz II Men,soul-blues
I'm Not The One,The Black Keys,soul-blues
Sweet Baby,Macy Gray,soul-blues
Don't Give Up On Me,Solomon Burke,soul-blues
Grinnin' In Your Face,Son House,soul-blues
My Girl,The Temptations,soul-blues
Think,Aretha Franklin,soul-blues
I Second That Emotion,Smokey Robinson & The Miracles,soul-blues
You Haven't Done Nothin',Stevie Wonder,soul-blues
Simply Beautiful,Al Green,soul-blues
Key to the Highway,Eric Clapton,soul-blues
If You Love Me,B.B. King,soul-blues
You'll Never Find Another Love Like Mine,Lou Rawls,soul-blues
Ain't No Love In The Heart Of The City,"Bobby ""Blue"" Bland",soul-blues
I Got A Woman,Ray Charles,soul-blues
I'll Survive,B.B. King,soul-blues
The Boss,James Brown,soul-blues
You Can't Judge A Book By It's Cover,Bo Diddley,soul-blues
Summer Breeze,The Isley Brothers,soul-blues
Soulshine,The Allman Brothers Band,soul-blues
Lucille,B.B. King,soul-blues
Shake It Baby,John Lee Hooker,soul-blues
Rollin' And Tumblin',Elmore James,soul-blues
Blue Guitar,Earl Hooker,soul-blues
Pain in My Heart,Otis Redding,soul-blues
That Girl,Stevie Wonder,soul-blues
Shotgun,Jr. Walker & The All Stars,soul-blues
I Try,Macy Gray,soul-blues
Ain't Nobody,Chaka Khan,soul-blues
I'm Your Puppet,James & Bobby Purify,soul-blues
I Wanna Know,Joe,soul-blues
Hoochie Coochie Man,Muddy Waters,soul-blues
Tin Pan Alley (AKA Roughest Place in Town),Stevie Ray Vaughan,soul-blues
Work to Do,The Isley Brothers,soul-blues
If I Had Possession Over Judgement Day,Eric Clapton,soul-blues
Layla,Derek & The Dominos,soul-blues
My Baby Just Cares For Me,Nina Simone,soul-blues
Hey Joe,Jimi Hendrix,soul-blues
Harlem,Bill Withers,soul-blues
T-Bone Shuffle,Albert Collins,soul-blues
You Can't Lose What You Ain't Never Had,Muddy Waters,soul-blues
When My Train Pulls In,Gary Clark Jr.,soul-blues
The House Is Rockin',Stevie Ray Vaughan,soul-blues
How Long,Charles Bradley,soul-blues
To Love Somebody,Nina Simone,soul-blues
No Particular Place To Go,Chuck Berry,soul-blues
I Wanna Walk,John Lee Hooker,soul-blues
Billie Jean,Michael Jackson,soul-blues
At Last,Etta James,soul-blues
Thank You (Falettinme Be Mice Elf Agin),Sly & The Family Stone,soul-blues
Lonely Teardrops,Jackie Wilson,soul-blues
Like A Star,Corinne Bailey Rae,soul-blues
He Doesn't Know Why,Fleet Foxes,soul-blues
Free Me,Joss Stone,soul-blues
Tush,ZZ Top,soul-blues
My Babe,Little Walter,soul-blues
Little Queen Of Spades,Robert Johnson,soul-blues
Stay With Me,Sam Smith,soul-blues
Inner City Blues (Make Me Wanna Holler),Marvin Gaye,soul-blues
In the Midnight Hour,Wilson Pickett,soul-blues
Halfcrazy,Musiq Soulchild,soul-blues
Johnny Too Bad,Taj Mahal,soul-blues
Rim Shot,Erykah Badu,soul-blues
Back Door Man,Howlin' Wolf,soul-blues
Cloud Nine,The Temptations,soul-blues
Gallis Pole,Lead Belly,soul-blues
Lean on Me,Bill Withers,soul-blues
I Can't Quit You Baby,Otis Rush,soul-blues
Shaggy Dog,Lightnin' Hopkins,soul-blues
Fallin',Alicia Keys,soul-blues
Shop Around,The Miracles,soul-blues
Juke,Little Walter,soul-blues
Give Me the Night,George Benson,soul-blues
After the Love Has Gone,"Earth, Wind & Fire",soul-blues
Death Letter,Son House,soul-blues
I'm Bad Like Jesse James,John Lee Hooker,soul-blues
Next Girl,The Black Keys,soul-blues
One Way Out,The Allman Brothers Band,soul-blues
The Tears Of A Clown,Smokey Robinson & The Miracles,soul-blues
Steppin' Out,John Mayall & The Bluesbreakers,soul-blues
