name,artist,genre
Complication With Optimistic Outcome,Trent Reznor and Atticus Ross,soundtracks
Destiny,Harry Gregson-Williams,soundtracks
Infiltration,Hans Zimmer,soundtracks
"Conceal, Don't Feel",Christophe Beck,soundtracks
Cast Away End Credits,Alan Silvestri,soundtracks
Will And Elizabeth,Klaus Badelt,soundtracks
Dancing Through Life,Stephen Schwartz,soundtracks
To The Pirates' Cave!,Klaus Badelt,soundtracks
Becoming a Geisha,John Williams,soundtracks
No Church In The Wild,JAY Z,soundtracks
Run Daddy Run,Miranda Lambert,soundtracks
Coronation Day,Christophe Beck,soundtracks
A Narnia Lullaby,Harry Gregson-Williams,soundtracks
Ghosts,James Vincent McMorrow,soundtracks
My Name Is Lincoln,Steve Jablonsky,soundtracks
The Stone Table,Harry Gregson-Williams,soundtracks
A Little Help,Alan Silvestri,soundtracks
One Day,Hans Zimmer,soundtracks
Shelob's Lair,Howard Shore,soundtracks
Alice Returns,Danny Elfman,soundtracks
Skull And Crossbones,Klaus Badelt,soundtracks
Flight from Edoras,Howard Shore,soundtracks
Requiem On Water,Imperial Mammoth,soundtracks
Strawberry Letter 23,The Brothers Johnson,soundtracks
I Won't Say (I'm In Love),Susan Egan,soundtracks
To Aslan's Camp,Harry Gregson-Williams,soundtracks
March Of The Witch Hunters,Stephen Schwartz,soundtracks
Transformation / The End,"Harry Gregson-Williams, John Powell",soundtracks
The Ruler And The Killer,Kid Cudi,soundtracks
"Girl, You'll Be a Woman Soon",Urge Overkill,soundtracks
Beauty Killed The Beast V,James Newton Howard,soundtracks
Grond,Howard Shore,soundtracks
The Crack of Doom,Howard Shore,soundtracks
Carbon Prevails,Trent Reznor and Atticus Ross,soundtracks
There Goes The Fear,Doves,soundtracks
Beauty And The Beast (Celine Dion and Peabo Bryson),Céline Dion,soundtracks
Crazy In Love,Emeli Sandé,soundtracks
In the Hall of the Mountain King,Trent Reznor and Atticus Ross,soundtracks
A Spoonful of Sugar,Julie Andrews,soundtracks
The Parting of Sam and Frodo,Howard Shore,soundtracks
A Story of Boy Meets Girl,Mychael Danna,soundtracks
For a Few Dollars More,The Film Score Orchestra,soundtracks
Eyes Open,Taylor Swift,soundtracks
"Star Wars, Episode V ""The Empire Strikes Back"": The Imperial March",John Williams,soundtracks
Cloud Atlas Finale,Tom Tykwer,soundtracks
Assemble,Alan Silvestri,soundtracks
Kingdom Come,The Civil Wars,soundtracks
Singapore,Hans Zimmer,soundtracks
The Incredits,Michael Giacchino,soundtracks
Chim Chim Cher-ee,Dick Van Dyke,soundtracks
Rhythm Of The Night,Valeria,soundtracks
Blackbeard,Hans Zimmer,soundtracks
Sam on the Roof,Steve Jablonsky,soundtracks
Guilty,George Shearing,soundtracks
The King's Speech,Alexandre Desplat,soundtracks
The Mission,Ennio Morricone,soundtracks
La valse des monstres,Yann Tiersen,soundtracks
"Flight to Neverland (From ""Hook"")",John Williams,soundtracks
What's This?,Danny Elfman,soundtracks
A Promise,Alan Silvestri,soundtracks
Downton Abbey,The Chamber Orchestra Of London,soundtracks
Bootstrap's Bootstraps,Klaus Badelt,soundtracks
Go the Distance,Roger Bart,soundtracks
A Small Measure of Peace,Hans Zimmer,soundtracks
Long Distance Goodbye/Landing,Trevor Rabin,soundtracks
Marshmallow Attack!,Christophe Beck,soundtracks
Can You See Jane?,Patrick Doyle,soundtracks
A Family Affair,Hans Zimmer,soundtracks
Ride to Observatory,Patrick Doyle,soundtracks
The Imperial March (Darth Vader's Theme),John Williams,soundtracks
Reaping Day,James Newton Howard,soundtracks
War,James Horner,soundtracks
Kyrie For The Magdalene,Various Artists,soundtracks
One Way Trip,Alan Silvestri,soundtracks
Be Our Guest,Angela Lansbury,soundtracks
