name,artist,genre
Boat,Secret Suburbia,singer-songwriter
Cold Water,Damien Rice,singer-songwriter
Dirty Rain,Ryan Adams,singer-songwriter
Closer,Joshua Radin,singer-songwriter
Callin' Me When I'm Lonely,Sheryl Crow,singer-songwriter
Hold My Heart,Sara Bareilles,singer-songwriter
Rhiannon,Fleetwood Mac,singer-songwriter
By Your Side,Ben Taylor,singer-songwriter
Bright Eyes,Art Garfunkel,singer-songwriter
I Never Asked To Be Your Mountain,Tim Buckley,singer-songwriter
I Saw the Light,Todd Rundgren,singer-songwriter
No One's Gonna Love You,Band of Horses,singer-songwriter
Morning Has Broken,Yusuf / Cat Stevens,singer-songwriter
Hold You in My Arms,Ray LaMontagne,singer-songwriter
Cat's In The Cradle,Harry Chapin,singer-songwriter
Which Will,Nick Drake,singer-songwriter
A Sorta Fairytale,Tori Amos,singer-songwriter
Closer To Love,Mat Kearney,singer-songwriter
All My Days,Alexi Murdoch,singer-songwriter
From the Woods!!,James Vincent McMorrow,singer-songwriter
Don't Let Me Be Misunderstood,Yusuf / Cat Stevens,singer-songwriter
1901,Birdy,singer-songwriter
Slipped Dissolved and Loosed,Lambchop,singer-songwriter
Get to You,Matt Wertz,singer-songwriter
Waves,Mr. Probz,singer-songwriter
Walk Away,Ben Harper,singer-songwriter
Ballad Of Easy Rider,Roger McGuinn,singer-songwriter
Fast Car,Tracy Chapman,singer-songwriter
A Street,Leonard Cohen,singer-songwriter
Clarity,John Mayer,singer-songwriter
Heart's on Fire,Passenger,singer-songwriter
Happier?,Teddy Geiger,singer-songwriter
Boy With a Coin,Iron & Wine,singer-songwriter
Sip The Wine,Rick Danko,singer-songwriter
One Of These Things First,Nick Drake,singer-songwriter
Breathe Again,Sara Bareilles,singer-songwriter
Nothing But The Whole Wide World,Jakob Dylan,singer-songwriter
Better Together,Jack Johnson,singer-songwriter
Look At Miss Ohio,Gillian Welch,singer-songwriter
American Ride,Willie Nile,singer-songwriter
Highway Song,Aztec Two-Step,singer-songwriter
Constant Craving,k.d. lang,singer-songwriter
Us,Regina Spektor,singer-songwriter
It Can't Rain All the Time,Jane Siberry,singer-songwriter
War of My Life,John Mayer,singer-songwriter
Things That Stop You Dreaming,Passenger,singer-songwriter
Right Time of the Night,Jennifer Warnes,singer-songwriter
Trouble's Lament,Tori Amos,singer-songwriter
Magpie,Beth Orton,singer-songwriter
The Way It Is,Bruce Hornsby,singer-songwriter
Valerie,Steve Winwood,singer-songwriter
Staple It Together,Jack Johnson,singer-songwriter
Seen It All Before,Amos Lee,singer-songwriter
You're So Vain,Carly Simon,singer-songwriter
Brand New Key,Melanie,singer-songwriter
Can't Pretend,Tom Odell,singer-songwriter
El Camino,Amos Lee,singer-songwriter
A Beautiful Mess,Jason Mraz,singer-songwriter
XO,John Mayer,singer-songwriter
Jesus Was a Cross Maker,Judee Sill,singer-songwriter
No Other Way,Jack Johnson,singer-songwriter
I'm Getting Ready,Michael Kiwanuka,singer-songwriter
I Still Care for You,Ray LaMontagne,singer-songwriter
Little Lion Man,Mumford & Sons,singer-songwriter
Sweet Baby James,James Taylor,singer-songwriter
You Found Me,The Fray,singer-songwriter
Blue,The Jayhawks,singer-songwriter
Eagle Rock Fire,Joe Purdy,singer-songwriter
Galileo,Indigo Girls,singer-songwriter
If I Could,Jack Johnson,singer-songwriter
Did Jesus Have a Baby Sister,Dory Previn,singer-songwriter
One Of Us,Joan Osborne,singer-songwriter
Not Over You,Gavin DeGraw,singer-songwriter
You've Got a Friend in Me,Randy Newman,singer-songwriter
Time in a Bottle,Jim Croce,singer-songwriter
You and I,Ingrid Michaelson,singer-songwriter
In My Time Of Dust,Ed Harcourt,singer-songwriter
Banana Pancakes,Jack Johnson,singer-songwriter
Gale Song,The Lumineers,singer-songwriter
Laughing With,Regina Spektor,singer-songwriter
Rootless Tree,Damien Rice,singer-songwriter
This,Ed Sheeran,singer-songwriter
Talkin' Bout a Revolution,Tracy Chapman,singer-songwriter
Closer to Fine,Indigo Girls,singer-songwriter
Heart of Gold,Neil Young,singer-songwriter
Quits,Danny O'Keefe,singer-songwriter
Team,Bon Iver,singer-songwriter
In The Margins,Ani DiFranco,singer-songwriter
The Heart of Life,John Mayer,singer-songwriter
So Far Away,Carole King,singer-songwriter
As I Lay Me Down,Sophie B. Hawkins,singer-songwriter
No Regrets,Tom Rush,singer-songwriter
Tin Foiled,Andrew Bird,singer-songwriter
dying slowly,Tindersticks,singer-songwriter
Mariette,Mark Kozelek,singer-songwriter
Colors,Amos Lee,singer-songwriter
Me And Julio Down By The Schoolyard,Paul Simon,singer-songwriter
Ophelia,Matt Costa,singer-songwriter
Oh My Sweet Carolina,Ryan Adams,singer-songwriter
Pulaski at Night,Andrew Bird,singer-songwriter
Diamonds,Ben Howard,singer-songwriter
Hurricane,Bob Dylan,singer-songwriter
Ho Hey,The Lumineers,singer-songwriter
Fireproof,The National,singer-songwriter
